index,URL,domain,raw_text,raw_text_before,furniture_extr,property_extr,name_extr
0,https://www.factorybuys.com.au/products/euro-top-mattress-king,www.factorybuys.com.au,euro top mattress king,,mattress,"['euro top', 'king']",
1,https://dunlin.com.au/products/beadlight-cirrus,dunlin.com.au,beadlight cirrus,,,[],beadlight cirrus
2,https://themodern.net.au/products/hamar-plant-stand-ash,themodern.net.au,hamar plant stand ash,,plant stand,['ash'],hamar
3,https://furniturefetish.com.au/products/oslo-office-chair-white,furniturefetish.com.au,oslo office chair white,,office chair,['white'],oslo
4,https://hemisphereliving.com.au/products/,hemisphereliving.com.au,,,,[],
5,https://home-buy.com.au/products/bridger-pendant-larger-lamp-metal-brass,home-buy.com.au,bridger pendant larger lamp metal brass,,pendant lamp,"['larger', 'metal', 'brass']",bridger
6,https://interiorsonline.com.au/products/interiors-online-gift-card,interiorsonline.com.au,interiors online gift card,,,[],
7,https://beckurbanfurniture.com.au/products/page/2/,beckurbanfurniture.com.au,page/2/,,,[],
8,https://livingedge.com.au/products/tables/dining,livingedge.com.au,tables/dining,,dining table,[],
9,https://edenliving.online/collections/summerloving/products/nice-lounge-1,edenliving.online,nice lounge 1,collections/summerloving/,lounge,[],nice
10,https://www.ourfurniturewarehouse.com.au/products/athens-3pce-lounge-includes-2x-armless-3-seater-and-corner-ottoman-in-grey-storm-fabric?_pos=1&_sid=9f9ca4320&_ss=r,www.ourfurniturewarehouse.com.au,athens 3pce lounge includes 2x armless 3 seater and corner ottoman in grey storm fabric,,"['3 seater, corner ottoman']","['armless', 'grey storm fabric']",athens 3pce lounge
11,https://cane-line.co.uk/collections/news-2020/products/breeze-sunbed-5569,cane-line.co.uk,breeze sunbed 5569,collections/news 2020/,sunbed,[],breeze 5569
12,https://haute-living.com/products/beam-desk,haute-living.com,beam desk,,desk,[],beam
13,https://www.knoll.com/design-plan/products/by-designer/knoll,www.knoll.com,by designer/knoll,design plan/,,['designer'],knoll
14,https://www.balirepublic.com.au/products/fabric-cleaner,www.balirepublic.com.au,fabric cleaner,,,[],
15,https://vastinterior.com.au/products/samson-daybed-single-2,vastinterior.com.au,samson daybed single 2,,daybed,"['single', '2']",samson
16,https://www.hudsonfurniture.com.au/products/string-weave-timber-stool,www.hudsonfurniture.com.au,string weave timber stool,,stool,"['string weave', 'timber']",
17,https://premiumpatio.com.au/products/outdoor-tables/page/3/,premiumpatio.com.au,outdoor tables/page/3/,,table,['outdoor'],
18,https://dhfonline.com/products/gift-card,dhfonline.com,gift card,,,[],
19,https://furnish123watertown.com/products/,furnish123watertown.com,,,,[],
20,https://www.tandemarbor.com/products/kaiser-box-bed-blush-plush-velvet,www.tandemarbor.com,kaiser box bed blush plush velvet,,box bed,['blush plush velvet'],kaiser
21,https://www.perchfurniture.com/products/hoyt-chair,www.perchfurniture.com,hoyt chair,,chair,[],hoyt
22,http://www.vawayside.net/store/products/tag/beds,www.vawayside.net,tag/beds,store/,beds,[],
23,https://curiousgrace.com.au/products/cleo-desk-lamp,curiousgrace.com.au,cleo desk lamp,,desk lamp,[],cleo
24,https://modshop1.com/collections/amalfi/products/amalfi-3-door-credenza,modshop1.com,amalfi 3 door credenza,collections/amalfi/,credenza,['3 door'],amalfi
25,https://www.scandesign.com/products/pavia-sectional-ivory,www.scandesign.com,pavia sectional ivory,,sectional,['ivory'],pavia
26,https://www.sofamania.com/products/carl-victorian-inspired-velvet-button-detail-vanity-accent-stool,www.sofamania.com,carl victorian inspired velvet button detail vanity accent stool,,vanity accent stool,"['victorian inspired', 'velvet button detail']",carl
27,https://www.fentonandfenton.com.au/products/gift-card&media=http://cdn.shopify.com/s/files/1/1909/9637/products/GiftVouchers_Product_1024x1024.jpg&description=Gift%20Card%20%23Art-Lover%20%23Birthday%20%23Colour-Lover,www.fentonandfenton.com.au,gift card media GiftVouchers,//cdn.shopify.com/s/files/1/1909/9637/ ,,[],
28,https://4-chairs.com/products/mason-chair,4-chairs.com,mason chair,,chair,[],mason
29,https://www.theinside.com/products/x-bench-onyx-austin-stripe-by-old-world-weavers/PTM_XBench_OnyxAustinStripeByOldWorldWeavers,www.theinside.com,x bench onyx austin stripe by old world weavers/PTM,,bench,"['onyx', 'austin stripe']",x old world weavers/PTM
30,https://stationfurniture.store/products/milano,stationfurniture.store,milano,,,[],milano
31,https://pinchdesign.com/products/yves-desk,pinchdesign.com,yves desk,,desk,[],yves
32,https://www.do-shop.com/products/gift-card,www.do-shop.com,gift card,,,[],
33,https://claytongrayhome.com/products/palecek-coco-ruffle-mirror,claytongrayhome.com,palecek coco ruffle mirror,,mirror,['coco ruffle'],palecek
34,https://dfohome.com/products/patio-furniture/swings/all-swings,dfohome.com,patio furniture/swings/all swings,,swing,['patio furniture'],
35,https://acmeshelving.com/collections/signs/products/sale,acmeshelving.com,sale,collections/signs/,,[],
36,https://www.kmpfurniture.com/fire_collection/products/beds_80.html,www.kmpfurniture.com,beds,collection/,beds,[],
37,https://www.jseitz.com/products/buddha,www.jseitz.com,buddha,,,[],
38,https://www.furnitureworldgalleries.com/products/,www.furnitureworldgalleries.com,,,,[],
39,https://www.homekoncepts.com/products/furniture/tables/end-tables/,www.homekoncepts.com,furniture/tables/end tables/,,end table,[],
40,https://cityfurnitureshop.com/collections/greenington/products/azara-bed,cityfurnitureshop.com,azara bed,collections/greenington/,bed,[],azara
