idx,URL,domain,raw_text_after,raw_text_before
0,https://www.factorybuys.com.au/products/euro-top-mattress-king,www.factorybuys.com.au,euro top mattress king,
1,https://dunlin.com.au/products/beadlight-cirrus,dunlin.com.au,beadlight cirrus,
2,https://themodern.net.au/products/hamar-plant-stand-ash,themodern.net.au,hamar plant stand ash,
3,https://furniturefetish.com.au/products/oslo-office-chair-white,furniturefetish.com.au,oslo office chair white,
4,https://hemisphereliving.com.au/products/,hemisphereliving.com.au,,
5,https://home-buy.com.au/products/bridger-pendant-larger-lamp-metal-brass,home-buy.com.au,bridger pendant larger lamp metal brass,
6,https://interiorsonline.com.au/products/interiors-online-gift-card,interiorsonline.com.au,interiors online gift card,
7,https://beckurbanfurniture.com.au/products/page/2/,beckurbanfurniture.com.au,page/2/,
8,https://livingedge.com.au/products/tables/dining,livingedge.com.au,tables/dining,
9,https://edenliving.online/collections/summerloving/products/nice-lounge-1,edenliving.online,nice lounge 1,collections/summerloving/
10,https://www.ourfurniturewarehouse.com.au/products/athens-3pce-lounge-includes-2x-armless-3-seater-and-corner-ottoman-in-grey-storm-fabric?_pos=1&_sid=9f9ca4320&_ss=r,www.ourfurniturewarehouse.com.au,athens 3pce lounge includes 2x armless 3 seater and corner ottoman in grey storm fabric,
11,https://cane-line.co.uk/collections/news-2020/products/breeze-sunbed-5569,cane-line.co.uk,breeze sunbed 5569,collections/news 2020/
12,https://haute-living.com/products/beam-desk,haute-living.com,beam desk,
13,https://www.knoll.com/design-plan/products/by-designer/knoll,www.knoll.com,by designer/knoll,design plan/
14,https://www.balirepublic.com.au/products/fabric-cleaner,www.balirepublic.com.au,fabric cleaner,
15,https://vastinterior.com.au/products/samson-daybed-single-2,vastinterior.com.au,samson daybed single 2,
16,https://www.hudsonfurniture.com.au/products/string-weave-timber-stool,www.hudsonfurniture.com.au,string weave timber stool,
17,https://premiumpatio.com.au/products/outdoor-tables/page/3/,premiumpatio.com.au,outdoor tables/page/3/,
18,https://dhfonline.com/products/gift-card,dhfonline.com,gift card,
19,https://furnish123watertown.com/products/,furnish123watertown.com,,
20,https://www.tandemarbor.com/products/kaiser-box-bed-blush-plush-velvet,www.tandemarbor.com,kaiser box bed blush plush velvet,
